date,order_id,product,category,region,quantity,unit_price,total_amount
2024-04-24,ORD-000001,Laptop Pro,Electronics,South,2,1189.85,2379.7
2024-01-17,ORD-000002,Gaming Console,Electronics,North,4,404.32,1617.28
2024-01-14,ORD-000003,Tablet X,Electronics,South,5,579.18,2895.9
2024-05-22,ORD-000004,Voice Assistant,Smart Home,North,5,78.49,392.45
2024-04-20,ORD-000005,Laptop Stand,Accessories,East,2,33.81,67.62
2024-06-25,ORD-000006,Laptop Pro,Electronics,East,3,755.9,2267.7
2024-02-10,ORD-000007,"Smart TV 55""",Electronics,East,4,943.46,3773.84
2024-01-24,ORD-000008,Smart Bulb Pack,Smart Home,South,1,157.01,157.01
2024-07-13,ORD-000009,Wireless Headphones,Audio,East,1,303.69,303.69
2024-04-17,ORD-000010,AR Glasses,Wearables,East,3,123.18,369.54
2024-05-05,ORD-000011,Gaming Console,Electronics,South,5,1061.96,5309.8
2024-04-22,ORD-000012,Smart Ring,Wearables,East,5,171.47,857.35
2024-07-24,ORD-000013,Tablet X,Electronics,East,3,1286.15,3858.45
2024-06-10,ORD-000014,Tablet X,Electronics,South,5,1395.75,6978.75
2024-03-14,ORD-000015,Smart Ring,Wearables,East,4,448.1,1792.4
2024-05-14,ORD-000016,Phone Case,Accessories,West,5,62.14,310.7
2024-09-17,ORD-000017,Voice Assistant,Smart Home,West,2,109.63,219.26
2024-11-17,ORD-000018,Laptop Pro,Electronics,South,2,1333.31,2666.62
2024-11-01,ORD-000019,Health Monitor,Wearables,West,4,78.58,314.32
2024-12-14,ORD-000020,Smart Bulb Pack,Smart Home,North,1,243.63,243.63
2024-02-27,ORD-000021,Smart Bulb Pack,Smart Home,East,3,199.08,597.24
2024-09-13,ORD-000022,Fitness Tracker,Wearables,South,3,254.17,762.51
2024-11-23,ORD-000023,Smart Thermostat,Smart Home,South,3,221.5,664.5
2024-09-28,ORD-000024,Screen Protector,Accessories,North,5,63.37,316.85
2024-07-04,ORD-000025,Smart Bulb Pack,Smart Home,East,1,137.48,137.48
2024-02-10,ORD-000026,USB-C Hub,Accessories,North,5,26.85,134.25
2024-03-05,ORD-000027,Smartwatch Series 5,Wearables,South,5,490.08,2450.4
2024-11-06,ORD-000028,Health Monitor,Wearables,West,5,124.3,621.5
2024-12-31,ORD-000029,Keyboard Cover,Accessories,East,2,62.86,125.72
2024-08-19,ORD-000030,AR Glasses,Wearables,North,5,247.14,1235.7
2024-10-28,ORD-000031,Phone Case,Accessories,South,1,14.47,14.47
2024-04-27,ORD-000032,Security Camera,Smart Home,North,1,31.57,31.57
2024-05-22,ORD-000033,Smartphone Ultra,Electronics,West,2,385.02,770.04
2024-10-22,ORD-000034,Keyboard Cover,Accessories,West,5,19.25,96.25
2024-02-18,ORD-000035,Laptop Stand,Accessories,North,2,66.51,133.02
2024-01-28,ORD-000036,AR Glasses,Wearables,North,4,240.6,962.4
2024-05-07,ORD-000037,"Smart TV 55""",Electronics,South,1,1173.85,1173.85
2024-04-03,ORD-000038,Keyboard Cover,Accessories,East,4,41.39,165.56
2024-08-14,ORD-000039,Fitness Tracker,Wearables,North,1,443.51,443.51
2024-05-01,ORD-000040,Gaming Console,Electronics,South,1,1303.22,1303.22
2024-01-31,ORD-000041,Smart Ring,Wearables,South,4,266.6,1066.4
2024-08-20,ORD-000042,Smartwatch Series 5,Wearables,East,3,493.38,1480.14
2024-03-20,ORD-000043,Health Monitor,Wearables,South,4,347.83,1391.32
2024-10-04,ORD-000044,Bluetooth Speaker,Audio,North,5,339.98,1699.9
2024-09-14,ORD-000045,Wireless Headphones,Audio,South,4,46.04,184.16
2024-02-05,ORD-000046,Gaming Console,Electronics,North,2,396.12,792.24
2024-05-06,ORD-000047,Laptop Stand,Accessories,North,5,18.38,91.9
2024-10-16,ORD-000048,Smart Thermostat,Smart Home,East,5,122.22,611.1
2024-05-02,ORD-000049,Bluetooth Speaker,Audio,East,3,244.3,732.9
2024-08-22,ORD-000050,Fitness Tracker,Wearables,East,3,352.25,1056.75
2024-02-21,ORD-000051,Laptop Pro,Electronics,North,5,849.93,4249.65
2024-06-27,ORD-000052,Security Camera,Smart Home,North,2,141.28,282.56
2024-10-05,ORD-000053,Screen Protector,Accessories,East,4,29.94,119.76
2024-06-02,ORD-000054,Smart Lock,Smart Home,North,5,31.71,158.55
2024-10-10,ORD-000055,Screen Protector,Accessories,South,1,18.07,18.07
2024-04-14,ORD-000056,Earbuds Pro,Audio,East,3,223.54,670.62
2024-02-17,ORD-000057,Voice Assistant,Smart Home,West,1,85.24,85.24
2024-11-22,ORD-000058,Wireless Headphones,Audio,East,2,31.12,62.24
2024-10-14,ORD-000059,Laptop Stand,Accessories,North,4,48.61,194.44
2024-10-06,ORD-000060,Laptop Pro,Electronics,North,2,1434.05,2868.1
2024-03-06,ORD-000061,Studio Microphone,Audio,North,4,206.8,827.2
2024-07-02,ORD-000062,Earbuds Pro,Audio,South,1,317.66,317.66
2024-07-27,ORD-000063,USB-C Hub,Accessories,South,5,34.75,173.75
2024-07-30,ORD-000064,Phone Case,Accessories,North,2,78.32,156.64
2024-12-08,ORD-000065,Screen Protector,Accessories,South,4,64.76,259.04
2024-07-14,ORD-000066,Bluetooth Speaker,Audio,North,1,281.95,281.95
2024-06-28,ORD-000067,Fitness Tracker,Wearables,East,4,139.8,559.2
2024-07-23,ORD-000068,Phone Case,Accessories,East,2,11.65,23.3
2024-06-28,ORD-000069,Wireless Headphones,Audio,West,3,339.39,1018.17
2024-05-13,ORD-000070,Smart Bulb Pack,Smart Home,South,1,236.62,236.62
2024-08-10,ORD-000071,Smart Bulb Pack,Smart Home,East,5,38.41,192.05
2024-02-29,ORD-000072,Soundbar,Audio,West,5,223.98,1119.9
2024-01-01,ORD-000073,Security Camera,Smart Home,South,4,86.03,344.12
2024-11-15,ORD-000074,Soundbar,Audio,East,3,52.38,157.14
2024-06-16,ORD-000075,Smartphone Ultra,Electronics,West,4,908.54,3634.16
2024-12-06,ORD-000076,Studio Microphone,Audio,West,4,70.72,282.88
2024-10-07,ORD-000077,Keyboard Cover,Accessories,North,4,49.83,199.32
2024-11-06,ORD-000078,Earbuds Pro,Audio,East,5,97.25,486.25
2024-09-18,ORD-000079,Smart Ring,Wearables,West,2,248.96,497.92
2024-06-20,ORD-000080,USB-C Hub,Accessories,North,5,29.86,149.3
2024-03-16,ORD-000081,Screen Protector,Accessories,North,2,25.71,51.42
2024-02-07,ORD-000082,Tablet X,Electronics,West,5,1480.71,7403.55
2024-09-10,ORD-000083,Health Monitor,Wearables,West,4,137.49,549.96
2024-02-24,ORD-000084,Phone Case,Accessories,West,1,55.91,55.91
2024-08-25,ORD-000085,Phone Case,Accessories,North,5,66.28,331.4
2024-08-21,ORD-000086,Security Camera,Smart Home,South,1,231.83,231.83
2024-06-11,ORD-000087,Health Monitor,Wearables,West,5,494.54,2472.7
2024-08-16,ORD-000088,Smart Lock,Smart Home,South,5,123.87,619.35
2024-11-22,ORD-000089,Smart Ring,Wearables,East,2,166.63,333.26
2024-08-13,ORD-000090,Voice Assistant,Smart Home,North,3,167.87,503.61
2024-10-03,ORD-000091,Bluetooth Speaker,Audio,North,3,116.94,350.82
2024-12-27,ORD-000092,Phone Case,Accessories,South,2,26.18,52.36
2024-08-26,ORD-000093,"Smart TV 55""",Electronics,West,5,789.11,3945.55
2024-10-26,ORD-000094,Tablet X,Electronics,North,4,1299.46,5197.84
2024-06-01,ORD-000095,Voice Assistant,Smart Home,West,3,134.93,404.79
2024-11-04,ORD-000096,Health Monitor,Wearables,South,5,386.37,1931.85
2024-01-15,ORD-000097,Fitness Tracker,Wearables,West,4,172.81,691.24
2024-03-06,ORD-000098,Soundbar,Audio,North,4,261.73,1046.92
2024-02-12,ORD-000099,Health Monitor,Wearables,West,1,303.97,303.97
2024-07-13,ORD-000100,Laptop Stand,Accessories,East,3,22.71,68.13
2024-05-22,ORD-000101,Laptop Stand,Accessories,West,4,32.87,131.48
2024-01-27,ORD-000102,Wireless Headphones,Audio,East,5,180.49,902.45
2024-01-16,ORD-000103,USB-C Hub,Accessories,South,1,64.68,64.68
2024-03-05,ORD-000104,USB-C Hub,Accessories,West,2,53.48,106.96
2024-12-24,ORD-000105,Gaming Console,Electronics,East,4,1437.3,5749.2
2024-03-24,ORD-000106,Bluetooth Speaker,Audio,East,1,223.88,223.88
2024-10-21,ORD-000107,Gaming Console,Electronics,West,3,330.8,992.4
2024-02-22,ORD-000108,Fitness Tracker,Wearables,East,2,84.19,168.38
2024-01-22,ORD-000109,Smart Thermostat,Smart Home,East,5,205.16,1025.8
2024-09-16,ORD-000110,Voice Assistant,Smart Home,East,1,175.52,175.52
2024-08-09,ORD-000111,"Smart TV 55""",Electronics,East,1,1286.79,1286.79
2024-11-29,ORD-000112,Fitness Tracker,Wearables,East,5,245.96,1229.8
2024-08-11,ORD-000113,Smart Lock,Smart Home,East,4,200.41,801.64
2024-05-22,ORD-000114,Bluetooth Speaker,Audio,West,1,295.82,295.82
2024-06-21,ORD-000115,Laptop Stand,Accessories,North,4,49.88,199.52
2024-06-30,ORD-000116,AR Glasses,Wearables,East,2,131.82,263.64
2024-10-11,ORD-000117,Earbuds Pro,Audio,North,3,311.69,935.07
2024-09-07,ORD-000118,Security Camera,Smart Home,South,4,48.82,195.28
2024-02-17,ORD-000119,Smart Ring,Wearables,East,1,251.67,251.67
2024-12-05,ORD-000120,Laptop Stand,Accessories,East,3,58.42,175.26
2024-10-08,ORD-000121,Health Monitor,Wearables,East,4,288.9,1155.6
2024-04-28,ORD-000122,Soundbar,Audio,North,3,116.68,350.04
2024-12-19,ORD-000123,Screen Protector,Accessories,South,5,18.36,91.8
2024-10-28,ORD-000124,Phone Case,Accessories,East,3,61.69,185.07
2024-04-01,ORD-000125,Tablet X,Electronics,East,3,655.49,1966.47
2024-01-28,ORD-000126,Gaming Console,Electronics,East,1,451.89,451.89
2024-10-20,ORD-000127,Laptop Stand,Accessories,East,1,17.17,17.17
2024-01-27,ORD-000128,Smart Ring,Wearables,East,2,248.2,496.4
2024-09-08,ORD-000129,Smartwatch Series 5,Wearables,North,4,419.94,1679.76
2024-06-04,ORD-000130,Smart Thermostat,Smart Home,North,5,63.37,316.85
2024-11-06,ORD-000131,USB-C Hub,Accessories,South,4,49.06,196.24
2024-06-01,ORD-000132,Voice Assistant,Smart Home,West,4,129.1,516.4
2024-02-20,ORD-000133,Studio Microphone,Audio,South,5,228.72,1143.6
2024-05-02,ORD-000134,Screen Protector,Accessories,South,2,56.22,112.44
2024-08-18,ORD-000135,Smart Thermostat,Smart Home,West,4,64.43,257.72
2024-12-25,ORD-000136,Wireless Headphones,Audio,West,3,104.06,312.18
2024-12-04,ORD-000137,Tablet X,Electronics,South,5,1408.68,7043.4
2024-05-16,ORD-000138,Smartwatch Series 5,Wearables,South,2,295.04,590.08
2024-10-31,ORD-000139,Laptop Pro,Electronics,East,3,499.1,1497.3
2024-12-24,ORD-000140,Smartwatch Series 5,Wearables,West,3,260.9,782.7
2024-02-11,ORD-000141,Studio Microphone,Audio,North,4,202.78,811.12
2024-02-16,ORD-000142,AR Glasses,Wearables,South,1,321.66,321.66
2024-10-22,ORD-000143,Smart Lock,Smart Home,North,3,239.16,717.48
2024-05-22,ORD-000144,Laptop Stand,Accessories,South,4,46.32,185.28
2024-02-16,ORD-000145,Voice Assistant,Smart Home,West,4,169.64,678.56
2024-03-23,ORD-000146,Soundbar,Audio,East,1,136.65,136.65
2024-10-08,ORD-000147,Smart Ring,Wearables,North,4,179.69,718.76
2024-02-29,ORD-000148,Smartwatch Series 5,Wearables,West,3,191.52,574.56
2024-08-24,ORD-000149,Smart Thermostat,Smart Home,West,5,174.68,873.4
2024-09-12,ORD-000150,Tablet X,Electronics,West,5,922.12,4610.6
2024-05-27,ORD-000151,Tablet X,Electronics,West,2,620.46,1240.92
2024-05-02,ORD-000152,Smartwatch Series 5,Wearables,South,5,62.98,314.9
2024-02-17,ORD-000153,Studio Microphone,Audio,South,4,34.37,137.48
2024-09-12,ORD-000154,"Smart TV 55""",Electronics,East,2,1436.46,2872.92
2024-08-29,ORD-000155,Smart Bulb Pack,Smart Home,South,4,121.4,485.6
2024-11-02,ORD-000156,Health Monitor,Wearables,South,2,115.08,230.16
2024-06-23,ORD-000157,Smartphone Ultra,Electronics,East,4,1227.2,4908.8
2024-10-23,ORD-000158,Smartphone Ultra,Electronics,West,5,1171.25,5856.25
2024-06-19,ORD-000159,Laptop Stand,Accessories,West,3,47.69,143.07
2024-10-19,ORD-000160,AR Glasses,Wearables,West,2,441.31,882.62
2024-12-27,ORD-000161,Laptop Stand,Accessories,West,4,13.05,52.2
2024-03-05,ORD-000162,Fitness Tracker,Wearables,East,1,272.89,272.89
2024-01-08,ORD-000163,"Smart TV 55""",Electronics,South,4,419.64,1678.56
2024-06-22,ORD-000164,Fitness Tracker,Wearables,West,3,83.66,250.98
2024-07-13,ORD-000165,Smartphone Ultra,Electronics,East,5,1322.8,6614.0
2024-04-30,ORD-000166,Health Monitor,Wearables,East,1,66.14,66.14
2024-11-20,ORD-000167,USB-C Hub,Accessories,North,1,40.37,40.37
2024-01-24,ORD-000168,Fitness Tracker,Wearables,East,1,362.29,362.29
2024-03-15,ORD-000169,Smartphone Ultra,Electronics,South,4,730.15,2920.6
2024-03-28,ORD-000170,Voice Assistant,Smart Home,South,2,154.49,308.98
2024-12-15,ORD-000171,Gaming Console,Electronics,South,5,1345.0,6725.0
2024-11-22,ORD-000172,Health Monitor,Wearables,East,4,114.39,457.56
2024-05-27,ORD-000173,AR Glasses,Wearables,South,4,350.07,1400.28
2024-06-02,ORD-000174,"Smart TV 55""",Electronics,West,5,1434.27,7171.35
2024-07-15,ORD-000175,Soundbar,Audio,West,2,300.49,600.98
2024-10-21,ORD-000176,Tablet X,Electronics,East,3,757.63,2272.89
2024-05-20,ORD-000177,Wireless Headphones,Audio,North,4,342.93,1371.72
2024-05-26,ORD-000178,Smart Thermostat,Smart Home,South,4,230.33,921.32
2024-11-13,ORD-000179,Smart Bulb Pack,Smart Home,East,2,78.17,156.34
2024-06-07,ORD-000180,USB-C Hub,Accessories,West,1,73.23,73.23
2024-02-16,ORD-000181,Gaming Console,Electronics,East,2,737.82,1475.64
2024-10-03,ORD-000182,Soundbar,Audio,East,2,86.19,172.38
2024-05-11,ORD-000183,Smart Lock,Smart Home,West,2,230.96,461.92
2024-02-08,ORD-000184,Earbuds Pro,Audio,South,4,287.34,1149.36
2024-07-06,ORD-000185,Laptop Stand,Accessories,North,5,77.7,388.5
2024-08-20,ORD-000186,Smartwatch Series 5,Wearables,East,1,169.0,169.0
2024-02-25,ORD-000187,Studio Microphone,Audio,South,3,151.92,455.76
2024-06-16,ORD-000188,Smartwatch Series 5,Wearables,South,5,328.79,1643.95
2024-11-28,ORD-000189,"Smart TV 55""",Electronics,West,3,1391.26,4173.78
2024-06-04,ORD-000190,Tablet X,Electronics,West,1,354.41,354.41
2024-03-10,ORD-000191,Laptop Pro,Electronics,West,5,581.75,2908.75
2024-08-02,ORD-000192,AR Glasses,Wearables,South,5,351.71,1758.55
2024-07-27,ORD-000193,Smartwatch Series 5,Wearables,East,5,425.15,2125.75
2024-04-30,ORD-000194,Smartphone Ultra,Electronics,East,4,560.71,2242.84
2024-02-01,ORD-000195,Smartphone Ultra,Electronics,West,3,953.35,2860.05
2024-02-16,ORD-000196,Bluetooth Speaker,Audio,South,4,339.82,1359.28
2024-05-04,ORD-000197,Smart Thermostat,Smart Home,South,3,41.12,123.36
2024-04-16,ORD-000198,Security Camera,Smart Home,South,5,45.08,225.4
2024-01-02,ORD-000199,Screen Protector,Accessories,East,5,64.2,321.0
2024-02-26,ORD-000200,Phone Case,Accessories,North,2,47.81,95.62
2024-10-28,ORD-000201,USB-C Hub,Accessories,East,2,35.07,70.14
2024-08-03,ORD-000202,Tablet X,Electronics,North,2,618.43,1236.86
2024-09-19,ORD-000203,"Smart TV 55""",Electronics,North,3,837.92,2513.76
2024-01-23,ORD-000204,Health Monitor,Wearables,East,5,149.69,748.45
2024-07-24,ORD-000205,Smartwatch Series 5,Wearables,West,4,77.36,309.44
2024-02-07,ORD-000206,"Smart TV 55""",Electronics,North,4,1154.87,4619.48
2024-05-20,ORD-000207,Studio Microphone,Audio,East,2,77.46,154.92
2024-09-15,ORD-000208,Health Monitor,Wearables,West,4,288.74,1154.96
2024-04-20,ORD-000209,Laptop Pro,Electronics,West,5,1323.34,6616.7
2024-07-23,ORD-000210,Fitness Tracker,Wearables,West,4,236.21,944.84
2024-07-10,ORD-000211,Smartphone Ultra,Electronics,South,3,812.11,2436.33
2024-02-17,ORD-000212,Smartwatch Series 5,Wearables,West,1,91.04,91.04
2024-01-31,ORD-000213,Smartphone Ultra,Electronics,East,5,1274.11,6370.55
2024-01-27,ORD-000214,"Smart TV 55""",Electronics,East,4,724.31,2897.24
2024-09-16,ORD-000215,Smart Bulb Pack,Smart Home,South,5,107.35,536.75
2024-06-28,ORD-000216,Laptop Stand,Accessories,East,1,25.69,25.69
2024-10-14,ORD-000217,Smartphone Ultra,Electronics,North,4,988.91,3955.64
2024-12-25,ORD-000218,Smart Bulb Pack,Smart Home,East,3,36.36,109.08
2024-10-16,ORD-000219,Earbuds Pro,Audio,West,2,31.94,63.88
2024-02-16,ORD-000220,Tablet X,Electronics,South,1,1189.15,1189.15
2024-07-08,ORD-000221,Smart Ring,Wearables,East,2,254.13,508.26
2024-03-20,ORD-000222,Studio Microphone,Audio,South,1,220.78,220.78
2024-08-14,ORD-000223,Smart Thermostat,Smart Home,West,3,178.26,534.78
2024-04-20,ORD-000224,Health Monitor,Wearables,North,3,248.91,746.73
2024-09-06,ORD-000225,Soundbar,Audio,East,5,65.47,327.35
2024-01-29,ORD-000226,Tablet X,Electronics,North,5,774.31,3871.55
2024-05-10,ORD-000227,Screen Protector,Accessories,East,2,76.16,152.32
2024-03-30,ORD-000228,Wireless Headphones,Audio,South,4,32.46,129.84
2024-10-13,ORD-000229,Health Monitor,Wearables,East,5,366.64,1833.2
2024-08-11,ORD-000230,"Smart TV 55""",Electronics,North,1,1334.11,1334.11
2024-08-07,ORD-000231,Smartwatch Series 5,Wearables,West,5,437.94,2189.7
2024-06-15,ORD-000232,AR Glasses,Wearables,South,1,101.82,101.82
2024-02-15,ORD-000233,Voice Assistant,Smart Home,West,3,213.04,639.12
2024-09-25,ORD-000234,Tablet X,Electronics,North,4,822.8,3291.2
2024-06-19,ORD-000235,AR Glasses,Wearables,South,2,385.6,771.2
2024-09-18,ORD-000236,Gaming Console,Electronics,South,5,1059.86,5299.3
2024-04-30,ORD-000237,Earbuds Pro,Audio,North,2,262.75,525.5
2024-03-19,ORD-000238,Screen Protector,Accessories,North,5,23.8,119.0
2024-10-23,ORD-000239,Laptop Stand,Accessories,West,5,42.47,212.35
2024-03-18,ORD-000240,Smart Lock,Smart Home,West,3,101.1,303.3
2024-05-20,ORD-000241,"Smart TV 55""",Electronics,North,3,830.64,2491.92
2024-08-19,ORD-000242,Studio Microphone,Audio,North,4,53.73,214.92
2024-11-26,ORD-000243,Smartphone Ultra,Electronics,North,1,1298.03,1298.03
2024-10-24,ORD-000244,Smart Lock,Smart Home,North,4,141.54,566.16
2024-11-05,ORD-000245,Health Monitor,Wearables,West,3,343.32,1029.96
2024-02-22,ORD-000246,Security Camera,Smart Home,East,4,240.69,962.76
2024-05-06,ORD-000247,Gaming Console,Electronics,West,1,1075.34,1075.34
2024-07-05,ORD-000248,Health Monitor,Wearables,East,2,285.23,570.46
2024-12-13,ORD-000249,Soundbar,Audio,North,3,160.8,482.4
2024-12-13,ORD-000250,Wireless Headphones,Audio,West,5,135.49,677.45
2024-03-17,ORD-000251,Earbuds Pro,Audio,East,5,261.58,1307.9
2024-06-07,ORD-000252,Gaming Console,Electronics,West,3,1096.32,3288.96
2024-06-07,ORD-000253,Keyboard Cover,Accessories,West,1,59.61,59.61
2024-02-17,ORD-000254,Bluetooth Speaker,Audio,West,5,244.43,1222.15
2024-04-02,ORD-000255,Smart Bulb Pack,Smart Home,South,3,34.0,102.0
2024-03-20,ORD-000256,Soundbar,Audio,North,2,91.43,182.86
2024-09-26,ORD-000257,Wireless Headphones,Audio,North,5,192.45,962.25
2024-03-19,ORD-000258,Studio Microphone,Audio,South,4,71.93,287.72
2024-08-12,ORD-000259,Keyboard Cover,Accessories,North,2,66.62,133.24
2024-08-15,ORD-000260,AR Glasses,Wearables,East,2,354.35,708.7
2024-08-28,ORD-000261,Fitness Tracker,Wearables,South,3,290.3,870.9
2024-05-24,ORD-000262,Studio Microphone,Audio,West,4,345.01,1380.04
2024-04-12,ORD-000263,Smart Lock,Smart Home,South,2,122.1,244.2
2024-10-10,ORD-000264,Wireless Headphones,Audio,North,3,235.17,705.51
2024-05-19,ORD-000265,Smart Thermostat,Smart Home,West,2,92.7,185.4
2024-04-23,ORD-000266,Security Camera,Smart Home,West,1,212.82,212.82
2024-09-14,ORD-000267,Wireless Headphones,Audio,East,4,162.76,651.04
2024-04-24,ORD-000268,Laptop Stand,Accessories,North,3,79.61,238.83
2024-03-15,ORD-000269,Wireless Headphones,Audio,South,3,298.53,895.59
2024-12-22,ORD-000270,Smartphone Ultra,Electronics,South,4,1400.87,5603.48
2024-01-10,ORD-000271,Smart Ring,Wearables,East,1,326.9,326.9
2024-09-27,ORD-000272,Phone Case,Accessories,West,5,48.41,242.05
2024-01-25,ORD-000273,Smartphone Ultra,Electronics,South,1,585.16,585.16
2024-09-12,ORD-000274,Health Monitor,Wearables,North,1,255.69,255.69
2024-05-29,ORD-000275,Smart Lock,Smart Home,West,2,83.22,166.44
2024-08-01,ORD-000276,Gaming Console,Electronics,South,5,723.37,3616.85
2024-09-26,ORD-000277,Gaming Console,Electronics,North,1,1469.58,1469.58
2024-07-10,ORD-000278,Smart Ring,Wearables,East,4,69.58,278.32
2024-05-03,ORD-000279,Smartphone Ultra,Electronics,North,3,1246.21,3738.63
2024-10-06,ORD-000280,Smart Bulb Pack,Smart Home,East,3,59.34,178.02
2024-11-19,ORD-000281,Laptop Stand,Accessories,South,4,78.65,314.6
2024-01-19,ORD-000282,USB-C Hub,Accessories,East,4,60.11,240.44
2024-06-10,ORD-000283,USB-C Hub,Accessories,East,1,65.37,65.37
2024-08-30,ORD-000284,Voice Assistant,Smart Home,East,5,247.6,1238.0
2024-12-01,ORD-000285,Tablet X,Electronics,East,1,643.32,643.32
2024-07-23,ORD-000286,Wireless Headphones,Audio,West,4,285.78,1143.12
2024-12-20,ORD-000287,AR Glasses,Wearables,West,4,488.17,1952.68
2024-08-05,ORD-000288,Studio Microphone,Audio,North,1,115.34,115.34
2024-10-06,ORD-000289,Health Monitor,Wearables,East,2,497.78,995.56
2024-06-05,ORD-000290,Wireless Headphones,Audio,West,3,55.61,166.83
2024-06-28,ORD-000291,Voice Assistant,Smart Home,West,4,66.65,266.6
2024-05-20,ORD-000292,Smartphone Ultra,Electronics,North,4,1037.81,4151.24
2024-01-16,ORD-000293,"Smart TV 55""",Electronics,South,2,735.96,1471.92
2024-04-30,ORD-000294,Voice Assistant,Smart Home,East,1,37.65,37.65
2024-11-05,ORD-000295,Soundbar,Audio,South,1,333.82,333.82
2024-10-20,ORD-000296,AR Glasses,Wearables,South,1,217.4,217.4
2024-05-07,ORD-000297,Smart Bulb Pack,Smart Home,North,3,117.56,352.68
2024-10-14,ORD-000298,Tablet X,Electronics,North,4,898.84,3595.36
2024-11-09,ORD-000299,Earbuds Pro,Audio,East,2,255.28,510.56
2024-08-19,ORD-000300,Fitness Tracker,Wearables,South,1,105.18,105.18
2024-12-07,ORD-000301,Smartwatch Series 5,Wearables,East,3,414.72,1244.16
2024-03-21,ORD-000302,Gaming Console,Electronics,South,3,950.6,2851.8
2024-03-12,ORD-000303,Studio Microphone,Audio,South,2,101.75,203.5
2024-07-07,ORD-000304,Smartwatch Series 5,Wearables,West,5,212.39,1061.95
2024-02-03,ORD-000305,Security Camera,Smart Home,East,1,164.62,164.62
2024-10-21,ORD-000306,Smart Ring,Wearables,North,4,286.55,1146.2
2024-08-26,ORD-000307,Screen Protector,Accessories,East,4,54.95,219.8
2024-03-07,ORD-000308,Keyboard Cover,Accessories,West,2,54.78,109.56
2024-03-19,ORD-000309,Smart Thermostat,Smart Home,East,5,212.9,1064.5
2024-06-26,ORD-000310,Phone Case,Accessories,East,2,32.58,65.16
2024-05-20,ORD-000311,Smartphone Ultra,Electronics,South,5,535.55,2677.75
2024-11-24,ORD-000312,Studio Microphone,Audio,South,5,200.7,1003.5
2024-11-05,ORD-000313,Smart Lock,Smart Home,East,5,63.91,319.55
2024-02-11,ORD-000314,Smart Thermostat,Smart Home,North,1,211.54,211.54
2024-08-01,ORD-000315,Smart Bulb Pack,Smart Home,North,5,173.24,866.2
2024-09-04,ORD-000316,Health Monitor,Wearables,South,3,180.34,541.02
2024-03-21,ORD-000317,AR Glasses,Wearables,West,1,254.08,254.08
2024-11-06,ORD-000318,Smart Ring,Wearables,South,3,258.99,776.97
2024-07-23,ORD-000319,Earbuds Pro,Audio,South,3,264.93,794.79
2024-05-03,ORD-000320,Studio Microphone,Audio,West,3,209.72,629.16
2024-02-19,ORD-000321,Smartphone Ultra,Electronics,North,2,839.51,1679.02
2024-05-07,ORD-000322,Soundbar,Audio,South,4,306.52,1226.08
2024-03-22,ORD-000323,Studio Microphone,Audio,West,2,260.75,521.5
2024-09-11,ORD-000324,Voice Assistant,Smart Home,North,3,139.72,419.16
2024-04-20,ORD-000325,"Smart TV 55""",Electronics,East,2,906.52,1813.04
2024-11-30,ORD-000326,Laptop Pro,Electronics,West,5,637.62,3188.1
2024-08-08,ORD-000327,Studio Microphone,Audio,South,1,32.61,32.61
2024-01-24,ORD-000328,Earbuds Pro,Audio,West,3,274.42,823.26
2024-10-10,ORD-000329,Gaming Console,Electronics,East,3,974.17,2922.51
2024-05-23,ORD-000330,"Smart TV 55""",Electronics,North,5,905.1,4525.5
2024-10-12,ORD-000331,USB-C Hub,Accessories,East,3,37.56,112.68
